id,anio,sector_id,actividad,subactividad,categoria,id_ipcc,gas_id,valor_tco2e,tipo_de_registro
1,1990,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"15,33",Emisión
2,1991,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"18,78",Emisión
3,1992,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"17,54",Emisión
4,1993,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"17,11",Emisión
5,1994,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"16,03",Emisión
6,1995,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"17,51",Emisión
7,1996,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"20,38",Emisión
8,1997,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"19,03",Emisión
9,1998,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"20,63",Emisión
10,1999,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"25,02",Emisión
11,2000,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"24,42",Emisión
12,2001,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"18,62",Emisión
13,2002,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"15,68",Emisión
14,2003,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"18,16",Emisión
15,2004,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"24,37",Emisión
16,2005,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"25,85",Emisión
17,2006,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"28,81",Emisión
18,2007,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"33,21",Emisión
19,2008,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"35,51",Emisión
20,2009,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"33,91",Emisión
21,2010,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"35,87",Emisión
22,2011,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"41,96",Emisión
23,2012,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"43,21",Emisión
24,2013,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"42,83",Emisión
25,2014,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"43,44",Emisión
26,2015,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"45,76",Emisión
27,2016,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"46,53",Emisión
28,2017,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"42,49",Emisión
29,2018,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"40,67",Emisión
30,2019,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"35,68",Emisión
31,2020,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"36,85",Emisión
32,2021,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"41,39",Emisión
33,2022,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,2,"39,23",Emisión
34,1990,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
35,1991,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
36,1992,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
37,1993,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
38,1994,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
39,1995,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
40,1996,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
41,1997,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
42,1998,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
43,1999,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
44,2000,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
45,2001,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
46,2002,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,01",Emisión
