anio,emisiones,remociones,balance_neto
1990,"313,43","-39,71","273,72"
1991,"343,9","-39,72","304,18"
1992,"346,61","-34,57","312,04"
1993,"353,19","-43,68","309,51"
1994,"352,98","-37,15","315,83"
1995,"363,95","-42,23","321,72"
1996,"395,43","-40,05","355,38"
1997,"405,94","-53,57","352,37"
1998,"411,57","-35,12","376,45"
1999,"409,13","-41,11","368,02"
2000,"408,63","-39,19","369,44"
2001,"407,43","-40,26","367,17"
2002,"413,34","-41,91","371,43"
2003,"432,49","-45,92","386,57"
2004,"452,7","-48,62","404,08"
2005,"448,51","-48,8","399,71"
2006,"476,14","-47,88","428,26"
2007,"504,28","-54,28","450,0"
2008,"486,89","-56,47","430,42"
2009,"441,92","-55,85","386,07"
2010,"453,12","-52,76","400,36"
2011,"451,31","-65,19","386,12"
2012,"482,74","-56,26","426,48"
2013,"499,15","-70,97","428,18"
2014,"458,9","-59,11","399,79"
2015,"445,27","-61,1","384,17"
2016,"439,2","-60,11","379,09"
2017,"450,0","-63,26","386,74"
2018,"446,67","-60,49","386,18"
2019,"412,66","-65,69","346,97"
2020,"453,19","-60,3","392,89"
2021,"457,62","-59,42","398,2"
2022,"457,25","-56,46","400,79"
