anio,tipo_de_gas,total_tco2e,participacion_pct
1990,CH4,"115,93","42,4"
1990,CO2,"141,67","51,8"
1990,N2O,"16,07","5,9"
1990,PFC,"0,05","0,0"
1991,CH4,"118,19","38,9"
1991,CO2,"169,38","55,7"
1991,N2O,"16,56","5,4"
1991,PFC,"0,05","0,0"
1992,CH4,"120,63","38,7"
1992,CO2,"174,6","56,0"
1992,N2O,"16,76","5,4"
1992,PFC,"0,05","0,0"
1993,CH4,"124,4","40,2"
1993,CO2,"168,25","54,4"
1993,N2O,"16,81","5,4"
1993,PFC,"0,05","0,0"
1994,CH4,"122,6","38,8"
1994,CO2,"176,87","56,0"
1994,N2O,"16,31","5,2"
1994,PFC,"0,05","0,0"
1995,CH4,"122,88","38,2"
1995,CO2,"182,23","56,6"
1995,N2O,"16,55","5,1"
1995,PFC,"0,06","0,0"
1996,CH4,"121,98","34,3"
1996,CO2,"216,39","60,9"
1996,N2O,"16,95","4,8"
1996,PFC,"0,06","0,0"
1997,CH4,"122,35","34,7"
1997,CO2,"212,82","60,4"
1997,HFC,"0,0","0,0"
1997,N2O,"17,14","4,9"
1997,PFC,"0,06","0,0"
1998,CH4,"120,38","32,0"
1998,CO2,"238,57","63,4"
1998,HFC,"0,02","0,0"
1998,N2O,"17,42","4,6"
1998,PFC,"0,06","0,0"
1999,CH4,"124,2","33,7"
1999,CO2,"225,83","61,4"
1999,HFC,"0,06","0,0"
1999,N2O,"17,87","4,9"
1999,PFC,"0,06","0,0"
2000,CH4,"130,27","35,3"
2000,CO2,"218,63","59,2"
2000,HFC,"0,11","0,0"
2000,N2O,"20,35","5,5"
2000,PFC,"0,08","0,0"
2001,CH4,"132,4","36,1"
2001,CO2,"211,97","57,7"
2001,HFC,"0,16","0,0"
2001,N2O,"22,57","6,1"
2001,PFC,"0,07","0,0"
2002,CH4,"131,52","35,4"
2002,CO2,"219,78","59,2"
2002,HFC,"0,23","0,1"
2002,N2O,"19,82","5,3"
2002,PFC,"0,08","0,0"
2003,CH4,"137,01","35,4"
2003,CO2,"228,06","59,0"
2003,HFC,"0,31","0,1"
2003,N2O,"21,11","5,5"
2003,PFC,"0,08","0,0"
2004,CH4,"134,41","33,3"
2004,CO2,"249,34","61,7"
2004,HFC,"0,39","0,1"
2004,N2O,"19,86","4,9"
2004,PFC,"0,08","0,0"
2005,CH4,"135,17","33,8"
2005,CO2,"243,58","60,9"
2005,HFC,"0,61","0,2"
2005,N2O,"20,27","5,1"
2005,PFC,"0,08","0,0"
2006,CH4,"136,65","31,9"
2006,CO2,"269,74","63,0"
2006,HFC,"0,67","0,2"
2006,N2O,"21,19","4,9"
2006,PFC,"0,01","0,0"
2007,CH4,"135,89","30,2"
2007,CO2,"291,84","64,9"
2007,HFC,"0,76","0,2"
2007,N2O,"21,5","4,8"
2007,PFC,"0,01","0,0"
2008,CH4,"135,84","31,6"
2008,CO2,"272,89","63,4"
2008,HFC,"0,77","0,2"
2008,N2O,"20,91","4,9"
2008,PFC,"0,01","0,0"
2009,CH4,"129,8","33,6"
2009,CO2,"235,86","61,1"
2009,HFC,"0,88","0,2"
2009,N2O,"19,52","5,1"
2009,PFC,"0,01","0,0"
2010,CH4,"121,86","30,4"
2010,CO2,"257,03","64,2"
2010,HFC,"1,03","0,3"
2010,N2O,"20,43","5,1"
2010,PFC,"0,01","0,0"
2011,CH4,"118,81","30,8"
2011,CO2,"244,9","63,4"
2011,HFC,"1,09","0,3"
2011,N2O,"21,31","5,5"
2011,PFC,"0,01","0,0"
2012,CH4,"122,13","28,6"
2012,CO2,"282,26","66,2"
2012,HFC,"1,39","0,3"
2012,N2O,"20,69","4,9"
2012,PFC,"0,01","0,0"
2013,CH4,"123,8","28,9"
2013,CO2,"280,95","65,6"
2013,HFC,"2,13","0,5"
2013,N2O,"21,29","5,0"
2013,PFC,"0,01","0,0"
2014,CH4,"124,46","31,1"
2014,CO2,"250,1","62,6"
2014,HFC,"3,4","0,9"
2014,N2O,"21,82","5,5"
2014,PFC,"0,01","0,0"
2015,CH4,"124,64","32,4"
2015,CO2,"234,66","61,1"
2015,HFC,"4,25","1,1"
2015,N2O,"20,61","5,4"
2015,PFC,"0,01","0,0"
2016,CH4,"125,85","33,2"
2016,CO2,"226,03","59,6"
2016,HFC,"4,76","1,3"
2016,N2O,"22,44","5,9"
2016,PFC,"0,01","0,0"
2017,CH4,"129,74","33,5"
2017,CO2,"227,97","58,9"
2017,HFC,"5,29","1,4"
2017,N2O,"23,73","6,1"
2017,PFC,"0,01","0,0"
2018,CH4,"129,83","33,6"
2018,CO2,"227,04","58,8"
2018,HFC,"5,48","1,4"
2018,N2O,"23,82","6,2"
2018,PFC,"0,01","0,0"
2019,CH4,"129,43","37,3"
2019,CO2,"186,95","53,9"
2019,HFC,"5,85","1,7"
2019,N2O,"24,73","7,1"
2019,PFC,"0,01","0,0"
2020,CH4,"128,88","32,8"
2020,CO2,"232,38","59,1"
2020,HFC,"5,88","1,5"
2020,N2O,"25,74","6,6"
2020,PFC,"0,01","0,0"
2021,CH4,"128,09","32,2"
2021,CO2,"237,35","59,6"
2021,HFC,"6,35","1,6"
2021,N2O,"26,4","6,6"
2021,PFC,"0,01","0,0"
2022,CH4,"129,35","32,3"
2022,CO2,"239,44","59,7"
2022,HFC,"6,56","1,6"
2022,N2O,"25,43","6,3"
2022,PFC,"0,01","0,0"
