anio,sector,total_tco2e
1990,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","151,13"
1990,Energía,"102,3"
1990,Procesos industriales y uso de productos,"8,48"
1990,Residuos,"11,81"
1991,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","176,17"
1991,Energía,"108,01"
1991,Procesos industriales y uso de productos,"7,87"
1991,Residuos,"12,13"
1992,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","180,24"
1992,Energía,"111,59"
1992,Procesos industriales y uso de productos,"7,86"
1992,Residuos,"12,35"
1993,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","174,97"
1993,Energía,"113,6"
1993,Procesos industriales y uso de productos,"8,35"
1993,Residuos,"12,59"
1994,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","174,35"
1994,Energía,"118,88"
1994,Procesos industriales y uso de productos,"9,67"
1994,Residuos,"12,93"
1995,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","176,98"
1995,Energía,"121,76"
1995,Procesos industriales y uso de productos,"9,63"
1995,Residuos,"13,35"
1996,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","192,95"
1996,Energía,"138,35"
1996,Procesos industriales y uso de productos,"10,31"
1996,Residuos,"13,77"
1997,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","187,27"
1997,Energía,"139,39"
1997,Procesos industriales y uso de productos,"11,49"
1997,Residuos,"14,22"
1998,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","202,8"
1998,Energía,"147,44"
1998,Procesos industriales y uso de productos,"11,82"
1998,Residuos,"14,39"
1999,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","191,99"
1999,Energía,"150,07"
1999,Procesos industriales y uso de productos,"11,19"
1999,Residuos,"14,77"
2000,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","196,13"
2000,Energía,"147,35"
2000,Procesos industriales y uso de productos,"10,73"
2000,Residuos,"15,23"
2001,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","196,55"
2001,Energía,"143,69"
2001,Procesos industriales y uso de productos,"11,16"
2001,Residuos,"15,77"
2002,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","208,14"
2002,Energía,"136,14"
2002,Procesos industriales y uso de productos,"11,02"
2002,Residuos,"16,13"
2003,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","210,9"
2003,Energía,"146,12"
2003,Procesos industriales y uso de productos,"12,8"
2003,Residuos,"16,75"
2004,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","214,17"
2004,Energía,"158,5"
2004,Procesos industriales y uso de productos,"14,19"
2004,Residuos,"17,22"
2005,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","204,07"
2005,Energía,"162,33"
2005,Procesos industriales y uso de productos,"15,54"
2005,Residuos,"17,77"
2006,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","222,66"
2006,Energía,"171,31"
2006,Procesos industriales y uso de productos,"16,03"
2006,Residuos,"18,26"
2007,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","229,43"
2007,Energía,"185,54"
2007,Procesos industriales y uso de productos,"16,72"
2007,Residuos,"18,31"
2008,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","204,83"
2008,Energía,"191,04"
2008,Procesos industriales y uso de productos,"16,53"
2008,Residuos,"18,02"
2009,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","175,98"
2009,Energía,"177,58"
2009,Procesos industriales y uso de productos,"14,84"
2009,Residuos,"17,67"
2010,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","174,32"
2010,Energía,"190,65"
2010,Procesos industriales y uso de productos,"17,2"
2010,Residuos,"18,19"
2011,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","150,15"
2011,Energía,"198,81"
2011,Procesos industriales y uso de productos,"18,56"
2011,Residuos,"18,6"
2012,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","190,57"
2012,Energía,"199,09"
2012,Procesos industriales y uso de productos,"17,67"
2012,Residuos,"19,15"
2013,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","187,71"
2013,Energía,"201,67"
2013,Procesos industriales y uso de productos,"19,27"
2013,Residuos,"19,53"
2014,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","160,39"
2014,Energía,"198,53"
2014,Procesos industriales y uso de productos,"20,73"
2014,Residuos,"20,14"
2015,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","137,34"
2015,Energía,"204,53"
2015,Procesos industriales y uso de productos,"21,53"
2015,Residuos,"20,77"
2016,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","132,85"
2016,Energía,"205,09"
2016,Procesos industriales y uso de productos,"19,93"
2016,Residuos,"21,22"
2017,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","144,48"
2017,Energía,"199,29"
2017,Procesos industriales y uso de productos,"21,37"
2017,Residuos,"21,6"
2018,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","144,6"
2018,Energía,"197,79"
2018,Procesos industriales y uso de productos,"21,76"
2018,Residuos,"22,03"
2019,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","114,46"
2019,Energía,"189,18"
2019,Procesos industriales y uso de productos,"20,75"
2019,Residuos,"22,58"
2020,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","177,5"
2020,Energía,"173,64"
2020,Procesos industriales y uso de productos,"19,12"
2020,Residuos,"22,63"
2021,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","160,29"
2021,Energía,"192,83"
2021,Procesos industriales y uso de productos,"22,11"
2021,Residuos,"22,97"
2022,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","153,55"
2022,Energía,"200,32"
2022,Procesos industriales y uso de productos,"23,59"
2022,Residuos,"23,33"
