anio,sector,total_tco2e,variacion_absoluta,variacion_pct
1990,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","151,13",,
1991,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","176,17","25,04","16,6"
1992,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","180,24","4,07","2,3"
1993,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","174,97","-5,27","-2,9"
1994,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","174,35","-0,62","-0,4"
1995,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","176,98","2,63","1,5"
1996,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","192,95","15,97","9,0"
1997,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","187,27","-5,68","-2,9"
1998,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","202,8","15,53","8,3"
1999,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","191,99","-10,81","-5,3"
2000,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","196,13","4,14","2,2"
2001,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","196,55","0,42","0,2"
2002,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","208,14","11,59","5,9"
2003,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","210,9","2,76","1,3"
2004,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","214,17","3,27","1,6"
2005,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","204,07","-10,1","-4,7"
2006,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","222,66","18,59","9,1"
2007,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","229,43","6,77","3,0"
2008,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","204,83","-24,6","-10,7"
2009,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","175,98","-28,85","-14,1"
2010,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","174,32","-1,66","-0,9"
2011,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","150,15","-24,17","-13,9"
2012,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","190,57","40,42","26,9"
2013,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","187,71","-2,86","-1,5"
2014,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","160,39","-27,32","-14,6"
2015,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","137,34","-23,05","-14,4"
2016,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","132,85","-4,49","-3,3"
2017,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","144,48","11,63","8,8"
2018,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","144,6","0,12","0,1"
2019,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","114,46","-30,14","-20,8"
2020,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","177,5","63,04","55,1"
2021,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","160,29","-17,21","-9,7"
2022,"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra","153,55","-6,74","-4,2"
1990,Energía,"102,3",,
1991,Energía,"108,01","5,71","5,6"
1992,Energía,"111,59","3,58","3,3"
1993,Energía,"113,6","2,01","1,8"
1994,Energía,"118,88","5,28","4,6"
1995,Energía,"121,76","2,88","2,4"
1996,Energía,"138,35","16,59","13,6"
1997,Energía,"139,39","1,04","0,8"
1998,Energía,"147,44","8,05","5,8"
1999,Energía,"150,07","2,63","1,8"
2000,Energía,"147,35","-2,72","-1,8"
2001,Energía,"143,69","-3,66","-2,5"
2002,Energía,"136,14","-7,55","-5,3"
2003,Energía,"146,12","9,98","7,3"
2004,Energía,"158,5","12,38","8,5"
2005,Energía,"162,33","3,83","2,4"
2006,Energía,"171,31","8,98","5,5"
2007,Energía,"185,54","14,23","8,3"
2008,Energía,"191,04","5,5","3,0"
2009,Energía,"177,58","-13,46","-7,0"
2010,Energía,"190,65","13,07","7,4"
2011,Energía,"198,81","8,16","4,3"
2012,Energía,"199,09","0,28","0,1"
2013,Energía,"201,67","2,58","1,3"
2014,Energía,"198,53","-3,14","-1,6"
2015,Energía,"204,53","6,0","3,0"
2016,Energía,"205,09","0,56","0,3"
2017,Energía,"199,29","-5,8","-2,8"
2018,Energía,"197,79","-1,5","-0,8"
2019,Energía,"189,18","-8,61","-4,4"
2020,Energía,"173,64","-15,54","-8,2"
2021,Energía,"192,83","19,19","11,1"
2022,Energía,"200,32","7,49","3,9"
1990,Procesos industriales y uso de productos,"8,48",,
1991,Procesos industriales y uso de productos,"7,87","-0,61","-7,2"
1992,Procesos industriales y uso de productos,"7,86","-0,01","-0,1"
1993,Procesos industriales y uso de productos,"8,35","0,49","6,2"
1994,Procesos industriales y uso de productos,"9,67","1,32","15,8"
1995,Procesos industriales y uso de productos,"9,63","-0,04","-0,4"
1996,Procesos industriales y uso de productos,"10,31","0,68","7,1"
1997,Procesos industriales y uso de productos,"11,49","1,18","11,4"
1998,Procesos industriales y uso de productos,"11,82","0,33","2,9"
1999,Procesos industriales y uso de productos,"11,19","-0,63","-5,3"
2000,Procesos industriales y uso de productos,"10,73","-0,46","-4,1"
2001,Procesos industriales y uso de productos,"11,16","0,43","4,0"
2002,Procesos industriales y uso de productos,"11,02","-0,14","-1,3"
2003,Procesos industriales y uso de productos,"12,8","1,78","16,2"
2004,Procesos industriales y uso de productos,"14,19","1,39","10,9"
2005,Procesos industriales y uso de productos,"15,54","1,35","9,5"
2006,Procesos industriales y uso de productos,"16,03","0,49","3,2"
2007,Procesos industriales y uso de productos,"16,72","0,69","4,3"
2008,Procesos industriales y uso de productos,"16,53","-0,19","-1,1"
2009,Procesos industriales y uso de productos,"14,84","-1,69","-10,2"
2010,Procesos industriales y uso de productos,"17,2","2,36","15,9"
2011,Procesos industriales y uso de productos,"18,56","1,36","7,9"
2012,Procesos industriales y uso de productos,"17,67","-0,89","-4,8"
2013,Procesos industriales y uso de productos,"19,27","1,6","9,1"
2014,Procesos industriales y uso de productos,"20,73","1,46","7,6"
2015,Procesos industriales y uso de productos,"21,53","0,8","3,9"
2016,Procesos industriales y uso de productos,"19,93","-1,6","-7,4"
2017,Procesos industriales y uso de productos,"21,37","1,44","7,2"
2018,Procesos industriales y uso de productos,"21,76","0,39","1,8"
2019,Procesos industriales y uso de productos,"20,75","-1,01","-4,6"
2020,Procesos industriales y uso de productos,"19,12","-1,63","-7,9"
2021,Procesos industriales y uso de productos,"22,11","2,99","15,6"
2022,Procesos industriales y uso de productos,"23,59","1,48","6,7"
1990,Residuos,"11,81",,
1991,Residuos,"12,13","0,32","2,7"
1992,Residuos,"12,35","0,22","1,8"
1993,Residuos,"12,59","0,24","1,9"
1994,Residuos,"12,93","0,34","2,7"
1995,Residuos,"13,35","0,42","3,2"
1996,Residuos,"13,77","0,42","3,1"
1997,Residuos,"14,22","0,45","3,3"
1998,Residuos,"14,39","0,17","1,2"
1999,Residuos,"14,77","0,38","2,6"
2000,Residuos,"15,23","0,46","3,1"
2001,Residuos,"15,77","0,54","3,5"
2002,Residuos,"16,13","0,36","2,3"
2003,Residuos,"16,75","0,62","3,8"
2004,Residuos,"17,22","0,47","2,8"
2005,Residuos,"17,77","0,55","3,2"
2006,Residuos,"18,26","0,49","2,8"
2007,Residuos,"18,31","0,05","0,3"
2008,Residuos,"18,02","-0,29","-1,6"
2009,Residuos,"17,67","-0,35","-1,9"
2010,Residuos,"18,19","0,52","2,9"
2011,Residuos,"18,6","0,41","2,3"
2012,Residuos,"19,15","0,55","3,0"
2013,Residuos,"19,53","0,38","2,0"
2014,Residuos,"20,14","0,61","3,1"
2015,Residuos,"20,77","0,63","3,1"
2016,Residuos,"21,22","0,45","2,2"
2017,Residuos,"21,6","0,38","1,8"
2018,Residuos,"22,03","0,43","2,0"
2019,Residuos,"22,58","0,55","2,5"
2020,Residuos,"22,63","0,05","0,2"
2021,Residuos,"22,97","0,34","1,5"
2022,Residuos,"23,33","0,36","1,6"
