año,sector,actividad,subactividad,categoria,id_ipcc,tipo_de_gas,valor_en_toneladas_de_co2e,tipo_de_registro
1990,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,15.33,Emisión
1991,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,18.78,Emisión
1992,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,17.54,Emisión
1993,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,17.11,Emisión
1994,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,16.03,Emisión
1995,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,17.51,Emisión
1996,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,20.38,Emisión
1997,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,19.03,Emisión
1998,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,20.63,Emisión
1999,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,25.02,Emisión
2000,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,24.42,Emisión
2001,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,18.62,Emisión
2002,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,15.68,Emisión
2003,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,18.16,Emisión
2004,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,24.37,Emisión
2005,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,25.85,Emisión
2006,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,28.81,Emisión
2007,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,33.21,Emisión
2008,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,35.51,Emisión
2009,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,33.91,Emisión
2010,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,35.87,Emisión
2011,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,41.96,Emisión
2012,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,43.21,Emisión
2013,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,42.83,Emisión
2014,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,43.44,Emisión
2015,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,45.76,Emisión
2016,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,46.53,Emisión
2017,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,42.49,Emisión
2018,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,40.67,Emisión
2019,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,35.68,Emisión
2020,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,36.85,Emisión
2021,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,41.39,Emisión
2022,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CO2,39.23,Emisión
1990,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1991,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1992,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1993,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1994,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1995,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1996,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1997,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1998,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
1999,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
2000,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
2001,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
2002,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
2003,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
2004,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
2005,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.01,Emisión
2006,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.02,Emisión
2007,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.02,Emisión
2008,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.03,Emisión
2009,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.03,Emisión
2010,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.04,Emisión
2011,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.06,Emisión
2012,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.06,Emisión
2013,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.06,Emisión
2014,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.07,Emisión
2015,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.07,Emisión
2016,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.08,Emisión
2017,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.1,Emisión
2018,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.11,Emisión
2019,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.1,Emisión
2020,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.07,Emisión
2021,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.07,Emisión
2022,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,CH4,0.06,Emisión
1990,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1991,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1992,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1993,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1994,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1995,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1996,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1997,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.01,Emisión
1998,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
1999,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
2000,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
2001,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.01,Emisión
2002,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.01,Emisión
2003,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.01,Emisión
2004,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
2005,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.02,Emisión
2006,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.03,Emisión
2007,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.03,Emisión
2008,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.28,Emisión
2009,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.27,Emisión
2010,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.27,Emisión
2011,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.31,Emisión
2012,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.33,Emisión
2013,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.31,Emisión
2014,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.33,Emisión
2015,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.33,Emisión
2016,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.34,Emisión
2017,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.38,Emisión
2018,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.4,Emisión
2019,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.39,Emisión
2020,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.4,Emisión
2021,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.42,Emisión
2022,Energía,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,N2O,0.36,Emisión
1990,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.06,Emisión
1991,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.25,Emisión
1992,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.0,Emisión
1993,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.04,Emisión
1994,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.63,Emisión
1995,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.36,Emisión
1996,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.19,Emisión
1997,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.95,Emisión
1998,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.22,Emisión
1999,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.9,Emisión
2000,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.76,Emisión
2001,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.57,Emisión
2002,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.78,Emisión
2003,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.3,Emisión
2004,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.99,Emisión
2005,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.59,Emisión
2006,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,3.96,Emisión
2007,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.37,Emisión
2008,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.77,Emisión
2009,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.23,Emisión
2010,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.35,Emisión
2011,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.96,Emisión
2012,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.02,Emisión
2013,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.06,Emisión
2014,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.93,Emisión
2015,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.09,Emisión
2016,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.05,Emisión
2017,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.66,Emisión
2018,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,6.79,Emisión
2019,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,6.33,Emisión
2020,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,7.09,Emisión
2021,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,4.91,Emisión
2022,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CO2,5.47,Emisión
1990,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1991,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1992,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1993,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1994,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1995,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1996,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1997,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1998,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1999,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
